x	y
LLLDW4EETK	69.574
LLLDS4QETK	47.852
LLLDC3FETK	75.4285
LLLDW2SETK	67.461
LLLDN3HETK	39.705
LLLDF2YETK	71.774
LLLDV3CETK	61.013
LLLDP4WETK	68.46585714285713
LLLDQ4YETK	55.87949999999999
LLLDD41ETK	50.495
LLLDN3WETK	63.159
LLLDK4YETK	47.909
LLLDK2AETK	38.725
LLLDD4PETK	62.485
LLLDP4FETK	66.04
LLLDM2WETK	74.33333333333334
LLLDC4WETK	70.881
LLLDN2AETK	47.641999999999996
LLLDN2RETK	39.66
LLLDK3FETK	50.111000000000004
LLLDM4PETK	81.635
LLLDD4EETK	51.99133333333333
LLLDW4DETK	70.28819999999999
LLLDR3NETK	39.398
LLLDN4YETK	55.821
LLLDQ2RETK	39.582
LLLDD4HETK	43.5415
LLLDH4QETK	40.984
LLLD14EETK	58.6845
LLLDK3AETK	38.691
LLLDK4QETK	39.513
LLLDD3HETK	40.88849999999999
LLLDT3RETK	42.443000000000005
LLLDE4QETK	49.263000000000005
LLLDD3VETK	53.398999999999994
LLLDF4EETK	67.679
LLLDE3CETK	51.757
LLLDS2FETK	60.565
LLLDS3NETK	46.99
LLLDV2RETK	48.2805
LLLDP2KETK	43.723
LLLDY2VETK	60.144
LLLDP2PETK	52.857
LLLDS3EETK	48.038999999999994
LLLDW3RETK	60.771
LLLDH2YETK	45.208749999999995
LLLDP2NETK	51.556000000000004
LLLDE2DETK	49.333
LLLDQ2WETK	63.633
LLLDF4FETK	92.556
LLLDC4SETK	53.701
LLLDF2AETK	68.097
LLLDQ4QETK	47.33
LLLDD3WETK	65.348
LLLDN2WETK	63.242
LLLDK4DETK	41.56
LLLDK4RETK	35.9295
LLLDD4RETK	44.559
LLLDK2NETK	37.949999999999996
LLLDH4YETK	49.537499999999994
LLLDH2KETK	32.76025
LLLDR4YETK	48.658500000000004
LLLDN4HETK	41.424
LLLDS2QETK	46.492
LLLDM4HETK	50.781499999999994
LLLDS4KETK	40.724000000000004
LLLDQ4FETK	64.065
LLLDR3FETK	50.9735
LLLDY3HETK	48.49100000000001
LLLDE4DETK	51.316
LLLDC3RETK	46.349500000000006
LLLDD2TETK	49.511
LLLDS2RETK	40.036500000000004
LLLDD4DETK	52.2545
LLLDY2RETK	47.786
LLLDM2KETK	49.8
LLLDW2NETK	66.657
LLLDW3QETK	69.04533333333333
LLLDN3CETK	49.673
LLLDA4DETK	51.751999999999995
LLLDM3WETK	75.27499999999999
LLLDR3PETK	41.702
LLLDH2PETK	40.524
LLLDV3HETK	48.64
LLLDH41ETK	41.879000000000005
LLLDW2TETK	67.791
LLLDN4DETK	49.718
LLLDK2FETK	50.379999999999995
LLLDM2HETK	49.11150000000001
LLLDS2AETK	48.0475
LLLDK3QETK	37.724000000000004
LLLDH4TETK	44.047
LLLDP4HETK	45.141999999999996
LLLDK4NETK	39.61
LLLDH3SETK	38.8065
LLLDE3SETK	49.282
LLLDV4KETK	48.695
LLLDH4NETK	41.023999999999994
LLLDS2TETK	47.501999999999995
LLLDS3WETK	63.715
LLLDY2HETK	46.53
LLLDR2RETK	34.4235
LLLDE4WETK	67.32566666666666
LLLDM4DETK	60.45399999999999
LLLDK21ETK	37.856
LLLDF2NETK	65.69
LLLDA2EETK	49.823
LLLDK4HETK	35.147444444444446
LLLD121ETK	56.943000000000005
LLLDR3AETK	40.256
LLLDH4METK	51.62649999999999
LLLDQ3WETK	63.07066666666666
LLLDA2NETK	48.645
LLLDF4PETK	69.257
LLLDS2SETK	47.12
LLLDR3YETK	45.498000000000005
LLLDQ4EETK	48.977
LLLDQ41ETK	47.7
LLLDQ4VETK	54.566500000000005
LLLDH2FETK	50.692499999999995
LLLDC3HETK	45.59133333333333
LLLDQ2SETK	46.754
LLLDE2PETK	50.459999999999994
LLLDQ4PETK	49.751000000000005
LLLDH3HETK	33.831500000000005
LLLDQ3KETK	39.202
LLLDN3KETK	39.15
LLLDQ3EETK	47.735
LLLDD3YETK	55.286
LLLDW3FETK	80.5495
LLLDE4RETK	43.857
LLLDC3EETK	55.025999999999996
LLLDK3RETK	33.24250000000001
LLLDA2PETK	51.084
LLLDF3AETK	69.74600000000001
LLLDC2KETK	45.165
LLLDN4RETK	42.257
LLLDN3SETK	47.419
LLLD12KETK	40.139
LLLD14VETK	65.74
LLLDY2EETK	55.925
LLLDR2KETK	33.693000000000005
LLLDY2FETK	67.932
LLLDW3CETK	72.765
LLLDD4SETK	50.756
LLLDH2QETK	37.9995
LLLDY2YETK	60.98
LLLDS3RETK	40.307
LLLDM3HETK	50.3605
LLLDW4PETK	71.131
LLLDD3PETK	51.042
LLLDP2SETK	51.988
LLLDD2EETK	49.795
LLLDV3RETK	50.162000000000006
LLLDE4AETK	51.593999999999994
LLLDE3RETK	42.161
LLLDR4DETK	42.957
LLLDS4EETK	49.708
LLLDS2PETK	48.9935
LLLDK3VETK	42.667
LLLDA3CETK	54.209
LLLDP4KETK	44.32066666666666
LLLDA2YETK	55.467
LLLDE2HETK	40.388
LLLDD4KETK	42.840500000000006
LLLDC4EETK	55.825500000000005
LLLDK4SETK	40.339
LLLDW4HETK	60.277166666666666
LLLDW3AETK	70.713
LLLDW3SETK	69.607
LLLD13WETK	71.005
LLLDE2NETK	48.272
LLLDH2AETK	39.34233333333333
LLLDK4FETK	56.214
LLLDE3PETK	50.788999999999994
LLLDY2NETK	54.715
LLLDE2YETK	54.776
LLLDN3AETK	47.813
LLLDR4KETK	35.741
LLLDR2PETK	41.09100000000001
LLLDF3PETK	68.307
LLLDH2EETK	39.8585
LLLDY4YETK	62.798
LLLDK2KETK	32.3463
LLLDY4KETK	48.735
LLLDE3KETK	41.273999999999994
LLLDH4AETK	44.134499999999996
LLLDS2KETK	39.278999999999996
LLLDK2RETK	33.1775
LLLDD4QETK	50.01049999999999
LLLDW2AETK	68.83433333333333
LLLDS4AETK	50.11600000000001
LLLDE2EETK	49.198
LLLDN41ETK	48.244
LLLDW3TETK	69.6915
LLLD12HETK	40.463
LLLDR2CETK	41.81100000000001
LLLDS3HETK	39.78733333333333
LLLDS2EETK	47.8655
LLLDY4FETK	70.05199999999999
LLLDA4WETK	67.63766666666668
LLLDK2CETK	40.952333333333335
LLLDV2VETK	92.79299999999999
LLLDM3AETK	65.002
LLLDC2EETK	54.16
LLLDE3QETK	48.4885
LLLDW3NETK	68.808
LLLDW2PETK	70.237
LLLDE3AETK	49.833999999999996
LLLDS3AETK	47.934
LLLDD4METK	60.082
LLLDW4YETK	73.13533333333334
LLLDR2METK	35.978
LLLDP2TETK	52.042
LLLDR4RETK	36.907
LLLDN3RETK	40.01
LLLDV2SETK	55.7565
LLLDP4PETK	53.873000000000005
LLLDK31ETK	38.114999999999995
LLLDQ2CETK	49.282
LLLDA2KETK	41.6375
LLLDW3PETK	70.207
LLLDN2VETK	50.523999999999994
LLLDA2SETK	49.148
LLLDW4RETK	60.59466666666666
LLLDN4KETK	40.707
LLLDQ2AETK	47.492
LLLDE2KETK	40.696
LLLDK4KETK	34.7076
LLLDN2YETK	53.229
LLLDH2TETK	39.071999999999996
LLLDP3KETK	45.900999999999996
LLLDA4SETK	50.38
LLLDP2QETK	51.233000000000004
LLLDV4WETK	74.24900000000001
LLLDN2SETK	47.033
LLLDP3VETK	57.332
LLLDH3VETK	43.168
LLLDQ3RETK	40.1525
LLLDP4EETK	53.9005
LLLDP2VETK	55.175
LLLDE4KETK	42.184666666666665
LLLDA3HETK	42.106
LLLDR2FETK	51.010000000000005
LLLDH4CETK	47.227666666666664
LLLDK3CETK	40.8575
LLLDH3EETK	39.797
LLLDA3RETK	42.973
LLLDN4CETK	53.0745
LLLDE2RETK	40.855
LLLDN2NETK	61.031666666666666
LLLDY4RETK	49.916000000000004
LLLD12RETK	40.69
LLLDF2HETK	56.108000000000004
LLLDE3YETK	54.9835
LLLDH3TETK	39.471
LLLDS4FETK	64.32050000000001
LLLDY4CETK	60.7558
LLLDY2WETK	69.80933333333333
LLLDR4METK	50.413000000000004
LLLDE4PETK	51.78
LLLDS3PETK	49.06399999999999
LLLDP3CETK	55.4025
LLLDH2NETK	38.29266666666667
LLLDY4HETK	49.3185
LLLDS4WETK	65.577
LLLDN4EETK	49.64
LLLDK4VETK	47.526
LLLDE3HETK	41.623333333333335
LLLDQ2PETK	48.458
LLLDS4PETK	50.596000000000004
LLLDD2VETK	54.633
LLLDC2RETK	45.56699999999999
LLLDE4EETK	51.13366666666667
LLLDP2RETK	44.06399999999999
LLLDH3FETK	50.8115
LLLDN2CETK	49.4025
LLLDF3WETK	81.72683333333333
LLLDR2HETK	34.507
LLLDC2NETK	52.309
LLLDV2FETK	77.863
LLLD13HETK	41.038999999999994
LLLDN2HETK	39.2145
LLLDW3YETK	64.55199999999999
LLLDD2HETK	40.178333333333335
LLLDN2EETK	47.73
LLLDE4FETK	65.35900000000001
LLLDF3QETK	67.4515
LLLDR4NETK	41.034
LLLDP4DETK	53.943250000000006
LLLDP2CETK	53.8615
LLLDH3CETK	41.4775
LLLDS2WETK	64.243
LLLDH3YETK	45.148999999999994
LLLDP2HETK	43.177666666666674
LLLDS2CETK	49.8535
LLLDM3KETK	50.917
LLLDK2SETK	38.25566666666666
LLLDK4EETK	41.709799999999994
LLLDM3EETK	60.802
LLLDW4NETK	67.851
LLLDW4SETK	68.00566666666667
LLLDR3EETK	40.4625
LLLDN4SETK	48.343
LLLDA4EETK	51.892
LLLDE4SETK	49.906000000000006
LLLDP3YETK	56.958000000000006
LLLDM2FETK	73.675
LLLDK3EETK	38.9015
LLLDD2WETK	65.381
LLLDH2SETK	38.529
LLLDR3SETK	39.821
LLLDW2YETK	72.41575
LLLDE3EETK	49.736999999999995
LLLDV2DETK	26.820999999999998
LLLDA2HETK	40.8955
LLLDA2RETK	42.123000000000005
LLLDE2CETK	51.44866666666667
LLLDT4WETK	67.0465
LLLDP3FETK	64.403
LLLDK2DETK	38.413000000000004
LLLDP3HETK	45.10225
LLLDH2DETK	39.78733333333333
LLLDK4METK	49.69
LLLDS4HETK	41.782
LLLDP3PETK	52.974
LLLDN2PETK	48.556999999999995
LLLDE41ETK	49.571999999999996
LLLDN4WETK	65.47625000000001
LLLDF3EETK	68.4535
LLLDQ3AETK	47.585
LLLDQ2NETK	46.415
LLLDR3METK	45.465
LLLDN4PETK	51.288666666666664
LLLDS2DETK	48.095
LLLDP3SETK	53.663000000000004
LLLDQ2HETK	39.111
LLLDY3FETK	68.712
LLLDH3WETK	53.722
LLLDK2EETK	38.7645
LLLDV3WETK	71.90899999999999
LLLDR3HETK	34.58025000000001
LLLDC4NETK	53.365
LLLDM3RETK	51.413999999999994
LLLDV2CETK	60.067
LLLDE4CETK	54.95666666666667
LLLDC2AETK	54.677
LLLDK4WETK	93.02
LLLDK3KETK	32.487
LLLDN3QETK	64.143
LLLDK2QETK	37.402
LLLDW41ETK	67.54400000000001
LLLDK3SETK	38.3515
LLLDK2PETK	39.977
LLLDP2EETK	52.2405
LLLDA4QETK	50.071000000000005
LLLDY3WETK	70.305
LLLDD4FETK	66.581
LLLDS2HETK	39.2145
LLLDK2VETK	42.525999999999996
LLLDS3KETK	39.4555
LLLDA4HETK	43.467
LLLDH2WETK	53.766999999999996
LLLDH3DETK	40.049
LLLDD3CETK	52.1335
LLLDW2CETK	73.696
LLLDE2WETK	64.863
LLLDK3NETK	37.985
LLLDQ4SETK	48.228
LLLDD3EETK	50.1915
LLLDR3CETK	42.166000000000004
LLLDW31ETK	69.294
LLLDW4TETK	68.648
LLLDR4PETK	43.016999999999996
LLLDR4CETK	46.94675
